Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
54.0,0,53.0,1,1,1,1,2,116.82,6194.18,1,0,1,0,0
52.0,1,71.0,0,1,0,0,2,110.52,2132.26,0,1,1,0,0
61.0,1,1.0,1,1,1,1,3,56.01,78.59,1,0,0,0,0
57.0,0,58.0,0,1,1,0,1,56.8,3289.07,1,0,1,0,0
39.0,0,6.0,1,1,1,0,1,105.27,628.92,0,1,1,0,1
44.0,0,70.0,1,1,0,0,2,92.91,6506.68,1,1,1,0,0
43.65553060078607,1,44.0,1,1,1,0,2,90.44,3964.28,1,0,0,1,0
18.0,0,24.0,1,0,1,0,2,47.96,1156.13,1,0,0,0,0
52.0,1,19.0,1,1,1,0,2,103.33,1966.68,1,1,0,1,0
54.0,0,18.0,0,1,0,0,2,77.94,1399.43,0,1,0,0,0
64.0,0,30.0,1,0,0,0,2,64.69,1943.44,1,1,1,1,0
43.65553060078607,0,42.0,1,1,0,0,3,106.54,4478.96,1,1,1,0,0
20.0,1,33.0,0,0,0,1,3,59.42,1975.21,0,1,1,1,0
18.0,1,12.0,0,1,1,1,3,85.39,1049.68,0,0,0,1,0
22.0,0,27.0,1,1,1,0,2,66.59,1787.31,1,0,0,0,0
43.0,1,39.0,1,0,1,2,0,79.27,3078.56,0,0,1,0,0
31.0,0,9.0,1,1,1,1,1,24.05,217.48,0,1,1,0,0
56.0,1,21.0,1,0,0,1,2,66.11,1367.52,1,1,1,1,0
44.0,1,29.0,0,1,0,0,2,75.65,2200.34,0,1,0,0,0
26.0,1,33.0,0,1,1,0,2,69.27,2287.04,0,0,0,1,0
32.0,0,62.0,1,1,0,2,2,104.74,6497.55,1,0,1,0,0
32.0,1,15.0,0,1,0,2,3,51.11,763.61,0,0,1,0,0
43.0,1,2.0,1,1,1,0,2,108.41,219.37,0,1,1,1,1
59.0,0,52.0,1,1,1,0,3,60.35,3142.92,0,0,0,0,0
30.0,0,44.0,0,1,1,1,2,89.45,3937.8,1,0,0,0,0
68.0,0,54.0,1,1,1,1,0,28.67,1534.73,1,0,1,0,0
49.0,0,18.0,0,0,1,2,2,40.02,722.08,0,0,1,1,0
56.0,1,3.0,1,1,1,0,3,96.12,306.9,1,0,1,0,1
66.0,1,7.0,0,0,1,0,2,21.23,1510.2,0,1,0,0,0
69.0,1,43.0,1,1,0,0,2,116.85,5025.92,1,0,0,0,0
49.0,1,38.0,1,1,1,0,1,39.06,1499.88,1,1,0,0,0
21.0,1,37.0,1,0,1,0,0,110.13,4067.35,0,1,0,1,0
47.0,0,58.0,1,1,0,2,2,71.59,4161.12,0,1,1,1,0
54.0,1,33.0,0,1,1,0,2,76.46,2517.88,1,0,0,1,0
40.0,1,59.0,1,1,1,2,0,28.41,1687.06,1,1,1,0,0
56.0,1,11.0,1,1,0,0,3,56.52,629.7,0,0,1,0,0
62.0,0,68.0,1,1,1,0,3,35.62,2418.04,0,0,0,0,0
32.0,0,68.0,0,0,0,0,1,72.59,4933.46,0,0,0,0,0
60.0,1,22.0,1,1,1,0,2,75.07,1661.32,1,0,0,0,0
46.0,0,66.0,0,0,1,2,2,90.97,5985.47,1,0,0,1,0
53.0,0,44.0,1,1,1,0,2,107.83,4740.1,0,1,0,0,0
30.0,0,6.0,0,1,1,0,0,66.82,407.12,0,1,1,0,0
43.65553060078607,0,42.0,1,1,0,0,1,43.34,1817.2,1,0,0,0,0
24.0,0,25.0,0,0,0,0,1,53.36,1335.35,0,1,0,1,0
68.0,0,57.0,1,0,0,1,0,104.71,5948.06,1,1,0,0,0
39.0,0,55.0,1,1,0,0,1,34.59,1893.91,0,0,0,0,0
45.0,1,16.0,0,1,1,1,0,82.73,1330.47,0,0,0,1,0
19.0,1,14.0,1,1,0,1,0,21.31,2908.3,1,0,0,0,0
59.0,0,39.0,0,1,0,0,1,44.57,1725.21,0,0,1,0,0
62.0,1,28.0,1,1,0,0,2,79.14,2226.54,1,0,0,1,0
23.0,1,51.0,1,0,0,1,0,65.64,3352.8,1,1,0,1,0
45.0,0,49.0,1,1,1,1,0,69.35,3387.26,0,1,1,0,0
45.0,1,9.0,1,0,1,0,1,86.06,775.93,1,0,0,1,1
61.0,0,58.0,0,1,0,0,1,43.46,2510.12,0,1,1,0,0
61.0,0,45.0,1,1,1,0,1,48.08,2162.08,1,1,1,0,0
37.0,0,22.0,0,1,1,0,1,88.45,1947.66,0,0,0,1,0
47.0,1,32.0,1,0,0,0,3,73.83,2354.48,1,1,0,1,0
28.0,1,69.0,1,0,1,0,2,21.46,1488.16,0,1,1,0,0
45.0,1,69.0,1,1,1,0,2,87.03,6014.04,0,1,0,1,0
42.0,1,42.0,0,1,1,0,3,82.01,3447.06,0,1,0,0,0
56.0,0,53.0,1,1,0,0,3,27.86,1480.72,0,1,0,0,0
50.0,0,59.0,1,1,1,2,3,94.75,5575.72,1,0,0,0,0
18.0,1,39.0,0,1,0,0,3,72.21,2829.81,1,0,0,1,0
44.0,0,15.0,1,0,1,2,1,40.47,606.14,0,1,0,0,0
69.0,0,71.0,1,1,1,0,2,75.94,5382.39,0,1,0,0,0
30.0,1,29.0,1,0,1,1,1,79.55,2308.41,1,1,1,1,0
58.0,0,3.0,1,1,0,0,1,112.01,343.48,1,0,1,1,1
20.0,1,10.0,1,1,1,1,3,94.21,947.22,0,1,1,0,1
56.0,0,29.0,0,0,0,0,3,50.19,1444.66,0,0,0,1,0
23.0,1,35.0,1,1,0,0,0,31.81,1120.93,0,1,1,1,0
25.0,0,6.0,0,0,0,2,2,105.32,631.31,1,0,1,0,1
44.0,0,12.0,1,1,0,0,2,104.61,1260.33,1,1,0,1,0
26.0,1,38.0,1,1,1,2,2,37.53,1418.12,1,1,0,0,0
54.0,1,19.0,1,0,1,0,2,26.21,508.45,1,1,0,0,0
50.0,1,67.0,1,0,0,0,2,91.19,6111.56,0,0,1,0,0
68.0,1,8.0,0,1,0,0,2,92.26,749.97,0,1,1,1,1
59.0,0,8.0,1,1,0,1,2,37.71,286.33,1,1,1,0,0
61.0,0,47.0,1,0,0,0,0,86.82,4066.53,1,0,1,0,0
41.0,1,4.0,0,0,0,2,2,47.89,189.16,1,1,1,1,0
32.0,0,51.0,1,1,1,0,0,46.06,2363.74,0,1,1,1,0
49.0,1,67.0,1,0,0,1,1,52.45,3533.78,1,0,1,1,0
49.0,1,45.0,1,1,0,0,0,72.04,3232.92,1,1,0,1,0
41.0,0,8.0,0,1,0,0,0,100.45,804.13,0,0,1,1,1
58.0,0,16.0,1,1,1,0,3,69.86,1119.31,0,1,1,1,0
69.0,1,67.0,0,1,0,0,2,49.8,3343.78,0,1,0,0,0
66.0,1,9.0,0,0,0,0,1,108.4,984.45,1,1,0,0,1
66.0,1,60.0,0,1,1,0,1,69.59,1519.46,0,0,0,0,0
69.0,0,71.0,0,0,0,0,3,99.71,7080.06,1,0,0,0,0
29.0,0,15.0,0,1,1,0,2,98.44,1456.51,0,0,0,0,0
56.0,0,71.0,1,0,0,0,0,45.35,3227.96,0,1,0,0,0
19.0,0,41.0,1,0,1,0,2,39.83,1629.64,0,0,0,0,0
20.0,1,22.0,0,1,1,0,2,107.47,2352.29,1,1,0,1,0
66.0,1,24.0,0,1,1,2,1,75.89,1824.69,0,1,1,1,0
54.0,1,44.0,1,1,0,2,3,24.6,1078.7,1,0,0,0,0
66.0,1,1.0,1,0,1,0,0,109.08,121.69,1,1,0,1,1
34.0,1,10.0,0,0,0,2,1,54.9,540.07,1,1,0,1,0
66.0,1,56.0,0,1,0,1,3,54.22,3058.55,0,1,0,1,0
19.0,0,50.0,0,0,0,0,3,84.33,4225.05,1,0,0,0,0
19.0,0,12.0,0,1,1,0,2,86.13,1046.44,0,1,0,1,0
45.0,1,60.0,0,1,0,2,2,55.33,3309.51,0,1,0,0,0
40.0,1,26.0,1,0,0,1,0,34.33,910.46,1,0,1,1,0
54.0,0,41.0,0,1,1,2,3,75.23,3072.3,0,1,1,0,0
49.0,0,36.0,1,0,1,2,2,82.52,2968.62,1,1,0,0,0
50.0,0,23.0,0,1,1,0,2,106.02,2451.51,1,0,0,1,0
18.0,0,43.0,1,1,0,0,3,68.44,2947.99,0,0,1,0,0
36.0,1,6.0,1,1,1,0,2,84.57,495.03,0,1,0,0,1
19.0,1,69.0,1,1,1,0,0,25.44,1766.71,1,0,0,0,0
61.0,1,43.0,1,0,0,0,3,109.45,4709.75,0,1,1,0,0
43.0,1,25.0,1,1,1,0,2,52.72,1313.84,0,0,0,0,0
49.0,1,18.0,1,1,0,0,3,83.22,1482.54,1,1,0,0,0
23.0,0,62.0,1,1,0,0,1,111.61,6924.17,0,1,0,1,0
49.0,1,13.0,1,1,1,0,2,101.05,1312.02,0,1,0,0,0
21.0,0,43.0,1,0,0,0,0,83.77,3603.67,1,0,1,1,0
28.0,1,28.0,1,1,1,0,3,90.36,2514.23,0,0,0,1,0
34.0,1,18.0,1,1,1,0,0,112.09,2013.43,0,0,0,0,0
55.0,1,59.0,1,0,0,1,2,101.21,5976.19,1,0,0,1,0
41.0,1,60.0,0,1,1,2,1,80.99,4878.16,0,1,1,0,0
22.0,1,63.0,0,0,0,0,0,85.87,5407.76,1,1,0,0,0
69.0,0,57.0,1,1,1,0,1,34.73,1994.04,0,0,0,0,0
51.0,0,51.0,0,1,1,2,2,67.02,3425.89,1,0,1,1,0
23.0,0,56.0,1,0,0,0,0,50.1,2807.94,0,0,0,1,0
39.0,1,27.0,0,0,1,1,0,63.2,1696.28,1,1,1,0,0
28.0,1,32.0,1,1,0,0,2,69.59,2749.34,0,1,0,0,0
65.0,0,9.0,1,1,1,2,2,34.92,320.46,1,1,0,1,0
33.0,1,68.0,1,1,0,2,0,21.74,1473.06,1,1,0,0,0
50.0,1,46.0,1,1,1,1,2,59.69,2739.59,1,1,0,0,0
26.0,0,67.0,1,0,1,0,0,52.22,3496.93,0,1,0,1,0
43.65553060078607,1,26.0,1,1,1,2,2,62.04,1611.4,1,0,0,0,0
33.0,0,8.0,1,1,1,1,2,113.12,913.97,0,1,1,1,1
46.0,1,6.0,0,0,0,1,2,90.71,539.21,0,1,0,0,1
20.0,0,24.0,1,1,1,0,2,52.75,1274.01,0,0,0,1,0
43.65553060078607,1,48.0,1,1,1,1,1,37.93,1825.04,1,1,1,1,0
53.0,1,45.0,1,0,1,0,1,81.85,3666.51,0,0,1,0,0
36.0,0,13.0,1,0,0,0,0,85.76,1117.83,1,1,0,1,0
43.0,1,69.0,1,1,0,0,1,68.36,4690.16,0,0,1,0,0
20.0,1,25.0,0,1,1,0,1,41.28,1023.05,0,0,1,1,0
36.0,0,20.0,0,1,1,1,2,22.86,461.83,1,0,0,0,0
43.65553060078607,1,66.0,1,1,1,1,1,46.57,3073.51,1,0,0,0,0
43.65553060078607,0,45.0,1,1,0,0,2,65.72,2939.72,1,1,0,0,0
43.65553060078607,1,47.0,1,0,1,1,3,98.79,4631.94,1,1,1,1,0
69.0,1,63.0,0,0,1,2,3,105.38,6612.85,0,0,0,1,0
58.0,1,55.0,1,0,0,0,0,61.29,3357.52,1,0,0,0,0
50.0,1,19.0,1,1,0,0,2,99.61,1898.38,0,0,0,1,0
57.0,0,35.0,1,0,1,0,2,119.34,4171.33,1,1,1,0,0
56.0,1,53.0,0,1,0,0,0,91.66,4859.68,0,0,0,0,0
35.0,0,26.0,0,1,1,0,2,92.86,2414.5,0,0,0,0,0
57.0,1,14.0,0,1,0,0,0,110.95,1553.63,0,0,0,1,0
18.0,1,45.0,0,1,1,0,0,53.81,2431.68,1,1,0,0,0
28.0,1,44.0,0,0,1,2,2,21.12,927.25,0,0,1,0,0
45.0,1,65.0,0,1,0,1,2,118.7,2132.26,1,1,0,0,0
42.0,0,51.0,1,1,1,0,0,69.05,3496.78,1,1,0,0,0
67.0,0,43.0,1,0,1,0,3,98.57,4249.62,0,0,0,1,0
40.0,0,23.0,1,1,1,0,2,101.25,2315.85,0,1,1,0,0
48.0,0,56.0,0,0,0,0,2,59.75,3335.27,1,0,0,0,0
47.0,1,19.0,1,1,1,0,2,74.13,1401.42,0,1,0,1,0
59.0,0,55.0,1,1,0,0,2,73.99,4080.29,0,1,0,1,0
52.0,0,60.0,0,0,1,0,3,42.02,2512.31,1,1,0,1,0
24.0,1,59.0,1,1,1,0,0,31.76,1867.28,0,1,1,0,0
33.0,1,33.0,0,1,1,0,3,74.36,2444.26,0,1,0,0,0
43.0,1,19.0,1,1,1,2,1,32.01,610.74,1,1,0,1,0
65.0,1,28.0,1,1,0,0,2,54.61,1536.52,0,0,0,0,0
69.0,0,52.0,1,1,0,0,3,38.61,2024.76,0,0,1,0,0
66.0,0,49.0,1,1,1,0,0,90.69,4467.81,0,0,1,0,0
19.0,1,37.0,1,1,1,2,0,107.2,3972.9,1,0,0,0,0
18.0,1,26.0,1,0,0,2,0,77.79,2026.2,0,1,1,0,0
65.0,1,40.0,1,1,0,0,0,61.02,2428.63,1,0,0,0,0
29.0,0,38.0,0,1,0,2,0,119.66,4566.17,1,0,1,1,0
22.0,0,54.0,0,1,0,0,2,22.12,1196.63,1,1,0,0,0
54.0,1,22.0,1,0,1,2,0,50.43,1106.57,0,0,0,0,0
49.0,1,16.0,1,0,0,0,0,47.87,769.8,0,1,0,1,0
26.0,0,28.0,1,0,1,0,1,55.62,1551.0,1,0,0,1,0
58.0,1,35.0,0,0,1,1,0,43.06,1483.72,1,1,1,1,0
52.0,1,60.0,1,1,0,0,0,46.43,2791.52,1,1,1,0,0
36.0,0,45.0,0,1,0,1,3,45.77,2073.07,1,1,0,0,0
65.0,1,46.0,1,1,0,0,2,70.57,3251.79,0,1,0,0,0
33.0,0,55.0,1,1,1,1,2,59.11,3250.98,0,0,0,0,0
20.0,1,26.0,1,1,1,0,0,83.93,2182.31,0,0,1,1,0
37.0,1,25.0,0,1,1,0,0,71.44,1787.72,0,1,0,0,0
41.0,0,65.0,1,0,0,2,2,38.34,2493.52,0,1,0,1,0
50.0,0,6.0,1,0,1,2,0,101.0,605.39,1,1,1,1,1
41.0,1,23.0,1,1,0,2,0,67.22,2132.26,1,0,0,1,0
69.0,0,64.0,1,0,1,1,0,35.32,2276.03,0,1,1,1,0
28.0,1,43.0,1,1,0,1,2,36.69,1582.39,1,0,1,1,0
66.0,1,23.0,1,1,0,0,0,99.7,2294.15,0,0,1,1,0
25.0,0,30.0,1,1,1,0,2,90.3,2715.59,0,0,1,0,0
53.0,1,18.0,0,1,1,0,0,70.65,1278.29,0,0,1,1,0
55.0,1,21.0,1,1,0,0,2,50.61,1072.27,1,0,0,1,0
57.0,0,57.0,1,0,1,2,0,66.05,3757.28,1,0,0,0,0
37.0,0,23.0,0,1,0,0,2,83.65,1919.14,0,0,0,0,0
52.0,1,45.0,0,1,0,2,2,107.93,4848.71,0,0,1,1,0
65.0,0,44.0,1,1,1,0,0,75.59,3333.63,1,0,0,1,0
42.0,0,47.0,0,1,0,1,2,47.67,2247.67,0,0,0,0,0
52.0,0,40.0,1,0,1,0,0,24.27,958.07,0,0,0,0,0
42.0,0,51.0,0,1,0,0,1,37.55,1918.96,1,0,1,1,0
46.0,1,42.0,1,0,1,2,2,85.02,3584.56,1,0,0,1,0
35.0,1,7.0,1,0,0,0,2,36.04,249.93,0,1,1,0,0
63.0,1,50.0,1,1,1,0,1,68.15,3410.64,0,1,0,0,0
35.0,0,48.0,1,1,1,0,2,89.9,4322.5,1,0,1,0,0
19.0,0,6.0,1,0,1,0,1,50.82,291.71,0,1,1,1,0
52.0,0,9.0,1,0,0,0,0,86.91,783.71,0,1,0,1,1
33.0,0,57.0,0,1,1,1,2,78.11,4464.99,0,1,0,0,0
58.0,0,31.0,0,0,0,0,3,63.89,1974.66,1,0,0,0,0
53.0,0,21.0,0,0,1,0,2,109.72,2312.44,0,0,1,1,0
50.0,0,40.0,1,1,0,0,0,89.21,3568.67,1,1,0,0,0
21.0,1,45.0,0,1,0,2,3,56.06,2515.95,0,1,0,1,0
50.0,1,49.0,0,0,1,1,0,100.43,4920.1,0,0,0,0,0
31.0,0,20.0,1,1,1,0,0,93.81,1870.94,1,0,0,1,0
38.0,0,17.0,1,1,1,0,1,99.17,1677.01,1,1,0,0,0
65.0,0,28.0,1,1,1,0,1,84.1,2352.26,0,1,1,0,0
37.0,1,41.0,0,1,1,1,3,57.94,2376.22,0,0,1,0,0
25.0,1,66.0,0,1,0,1,0,54.86,3619.1,1,0,1,0,0
24.0,0,25.0,1,0,1,2,1,85.42,2132.85,1,0,0,1,0
20.0,0,58.0,0,1,0,0,1,33.09,1921.48,1,0,0,0,0
34.0,1,41.0,1,1,0,0,2,101.99,4186.9,1,0,0,1,0
50.0,1,6.0,1,1,1,0,2,57.03,330.74,0,1,1,0,0
65.0,1,38.0,1,1,0,0,2,83.04,3153.0,0,1,0,1,0
29.0,1,6.0,0,1,1,0,3,69.91,399.72,0,0,1,0,0
68.0,0,45.0,1,1,0,0,2,71.93,3235.23,1,0,0,0,0
39.0,1,14.0,1,1,1,1,3,93.8,1314.71,0,0,1,1,0
39.0,1,66.0,1,1,0,0,0,82.67,5461.92,1,0,0,0,0
63.0,0,40.0,1,1,0,2,3,45.03,1802.74,0,0,0,0,0
47.0,1,3.0,0,1,1,0,0,27.42,87.74,1,0,1,0,0
55.0,1,24.0,0,0,0,2,2,104.02,2497.13,1,1,1,1,0
