Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,MonthlyCharges_Contract,TenuretoAgeRatio,MonthlyTotallyChargesRatio,TotalServiceUsage
66.0,0,59.0,1,1,1,2,0,48.93,2888.54,1,0,1,0,97.86,0.8939393939393939,0.016939353444992974,3
40.0,1,57.0,1,1,0,1,3,119.75,6831.2,0,0,1,1,119.75,1.425,0.017529862981613773,2
26.0,0,23.0,0,1,1,1,3,30.27,685.44,0,1,1,1,30.27,0.8846153846153846,0.044161414565826326,2
38.0,1,45.0,0,0,1,1,3,38.18,1718.59,1,0,0,0,38.18,1.1842105263157894,0.022215886278868145,1
62.0,0,31.0,1,0,0,1,1,51.03,1589.22,1,1,0,1,51.03,0.5,0.03211009174311927,1
33.0,0,55.0,1,1,1,1,2,59.11,3250.98,0,0,0,0,59.11,1.6666666666666667,0.018182209672160395,3
20.0,1,52.0,0,1,1,2,3,113.65,5914.77,0,0,1,0,227.3,2.6,0.01921461020462334,2
56.0,1,55.0,1,1,0,2,0,96.39,5299.98,1,0,1,0,192.78,0.9821428571428571,0.018186861082494652,2
27.0,1,24.0,0,1,1,0,2,95.49,2300.77,1,0,0,1,0.0,0.8888888888888888,0.041503496655467514,2
53.0,0,42.0,1,1,0,0,2,46.04,1931.03,1,0,0,1,0.0,0.7924528301886793,0.023842198205102975,2
57.0,1,7.0,1,1,0,0,2,86.19,603.86,1,1,1,0,0.0,0.12280701754385964,0.14273175901699067,2
34.0,1,46.0,1,0,1,0,2,81.76,3748.13,0,0,0,0,0.0,1.3529411764705883,0.02181354435411792,2
33.0,1,68.0,1,1,1,0,3,27.76,1870.94,1,0,1,0,0.0,2.0606060606060606,0.014837461383048095,3
50.0,1,58.0,1,0,0,2,2,46.59,2720.58,1,0,1,1,93.18,1.16,0.017125024810885917,1
37.0,0,20.0,1,1,1,0,0,77.21,1566.12,1,1,0,0,0.0,0.5405405405405406,0.04930018133987178,3
57.0,0,32.0,0,1,1,0,2,50.31,1620.41,1,0,0,1,0.0,0.5614035087719298,0.031047697804876543,2
54.0,0,53.0,1,1,0,2,3,92.53,4906.33,1,1,0,1,185.06,0.9814814814814815,0.018859310319526,2
44.0,1,20.0,1,1,0,0,0,103.52,2069.98,1,0,1,1,0.0,0.45454545454545453,0.0500101450255558,2
68.0,0,26.0,0,1,1,0,3,35.34,911.16,0,0,1,0,0.0,0.38235294117647056,0.03878572369287502,2
57.0,0,68.0,1,1,0,0,0,65.24,4433.0,0,1,0,1,0.0,1.1929824561403508,0.014716896007218587,2
21.0,0,38.0,1,0,1,1,0,77.43,2928.64,1,1,0,0,77.43,1.8095238095238095,0.02643889313811189,2
20.0,0,55.0,1,1,0,0,3,115.44,2132.26,0,0,0,0,0.0,2.75,0.05413973905621265,2
59.0,0,10.0,1,1,1,2,1,57.91,582.33,0,1,0,0,115.82,0.1694915254237288,0.09944533168478353,3
24.0,1,71.0,0,1,1,0,1,80.08,5678.12,1,1,0,0,0.0,2.9583333333333335,0.014103259529562602,2
54.0,1,14.0,0,1,0,2,1,100.31,1396.22,0,0,1,1,200.62,0.25925925925925924,0.07184397874260504,1
55.0,1,3.0,1,0,0,0,0,38.0,107.38,0,0,1,0,0.0,0.05454545454545454,0.3538834047308624,1
27.0,0,33.0,1,0,1,0,3,86.16,2848.33,0,1,0,1,0.0,1.2222222222222223,0.030249303978120513,2
43.0,0,40.0,1,0,0,0,0,90.69,3648.54,0,1,1,0,0.0,0.9302325581395349,0.02485651794964561,1
69.0,0,17.0,1,1,1,0,2,60.0,1014.23,1,0,0,0,0.0,0.2463768115942029,0.059158179111246954,3
63.0,1,20.0,1,1,1,2,3,30.62,613.86,0,0,1,1,61.24,0.31746031746031744,0.04988108037663311,3
25.0,1,31.0,1,1,0,0,1,40.64,1248.67,1,1,0,1,0.0,1.24,0.032546629613909195,2
21.0,1,71.0,1,1,1,2,0,108.8,2132.26,0,0,0,0,217.6,3.380952380952381,0.05102567229137159,3
53.0,0,1.0,1,1,1,0,1,59.43,80.72,0,1,0,0,0.0,0.018867924528301886,0.7362487611496531,3
32.0,0,3.0,1,1,1,0,2,60.88,190.67,1,1,0,1,0.0,0.09375,0.3192951172182305,3
50.0,0,13.0,1,1,1,1,1,42.21,542.98,0,0,1,1,42.21,0.26,0.07773766989576043,3
69.0,1,32.0,1,1,0,0,3,33.54,1066.34,1,0,1,0,0.0,0.463768115942029,0.031453382598420766,2
43.0,0,39.0,0,1,1,1,0,69.34,2682.72,1,0,1,1,69.34,0.9069767441860465,0.025846901652054634,2
27.0,1,62.0,0,1,1,0,0,35.48,2212.06,1,0,0,0,0.0,2.2962962962962963,0.016039347938121028,2
43.65553060078607,1,47.0,1,1,0,2,3,81.42,3811.48,0,1,1,0,162.84,1.0766104398042458,0.021361780725597405,2
40.0,0,2.0,1,1,1,0,2,104.94,206.23,0,1,0,1,0.0,0.05,0.5088493429665907,3
34.0,1,23.0,0,1,1,1,2,61.51,1411.04,0,1,0,0,61.51,0.6764705882352942,0.043591960539743735,2
31.0,1,17.0,1,0,1,0,1,47.78,820.12,0,1,0,1,0.0,0.5483870967741935,0.058259766863385846,2
22.0,0,61.0,0,1,1,0,1,58.29,3561.76,1,1,1,1,0.0,2.772727272727273,0.01636550469430843,2
27.0,0,30.0,1,1,1,0,0,72.67,2187.06,1,0,0,1,0.0,1.1111111111111112,0.03322725485354769,3
62.0,0,57.0,1,1,1,0,2,118.3,6767.75,1,1,1,1,0.0,0.9193548387096774,0.017479960104909313,3
26.0,0,57.0,1,0,1,0,1,118.81,6769.29,0,0,0,0,0.0,2.1923076923076925,0.01755132369864491,2
30.0,0,34.0,1,0,0,0,2,30.9,1031.22,1,0,0,0,0.0,1.1333333333333333,0.02996450805841624,1
29.0,1,56.0,1,0,1,0,2,118.25,6612.34,1,1,1,1,0.0,1.9310344827586208,0.017883230444895454,2
25.0,1,65.0,1,1,1,0,0,103.54,6718.07,0,1,0,1,0.0,2.6,0.01541216450557973,3
27.0,0,15.0,0,0,1,1,2,33.78,508.77,1,1,1,1,33.78,0.5555555555555556,0.06639542425850581,1
43.65553060078607,1,39.0,0,1,0,0,1,24.07,930.96,1,1,1,0,0.0,0.8933575989865018,0.0258550313654722,1
43.65553060078607,1,11.0,1,1,0,1,2,21.78,235.55,1,1,1,0,21.78,0.25197265612439795,0.09246444491615369,2
30.0,0,13.0,0,1,0,0,2,20.74,262.49,0,0,1,0,0.0,0.43333333333333335,0.07901253381081183,1
58.0,1,38.0,1,0,1,0,2,24.82,939.62,1,1,0,0,0.0,0.6551724137931034,0.026414933696600754,2
51.0,0,39.0,1,1,0,2,2,119.78,4688.19,1,1,0,1,239.56,0.7647058823529411,0.025549305808851605,2
54.0,1,22.0,0,0,1,0,2,43.61,953.82,1,1,0,0,0.0,0.4074074074074074,0.0457214149420226,1
45.0,0,15.0,1,0,0,2,2,105.53,1587.49,1,1,0,0,211.06,0.3333333333333333,0.06647600929769637,1
32.0,0,66.0,1,1,1,2,2,103.76,6857.84,0,0,1,1,207.52,2.0625,0.015130128436942244,3
18.0,1,33.0,0,1,0,0,3,72.27,2385.42,0,1,1,0,0.0,1.8333333333333333,0.03029655155067032,1
51.0,0,63.0,1,0,1,0,3,39.57,2497.43,1,1,0,1,0.0,1.2352941176470589,0.015844287927989975,2
32.0,1,16.0,1,1,1,1,2,32.87,537.14,1,1,1,0,32.87,0.5,0.06119447443869382,3
31.0,0,9.0,1,1,1,1,2,59.38,539.63,0,1,0,0,59.38,0.2903225806451613,0.11003835961677447,3
34.0,0,18.0,1,0,0,2,2,28.0,510.32,1,1,0,1,56.0,0.5294117647058824,0.054867534096253334,1
43.65553060078607,0,40.0,1,1,0,0,0,41.22,1656.76,1,1,1,0,0.0,0.9162642040887198,0.024879886042637436,2
31.0,1,33.0,1,0,1,1,0,42.85,1430.99,0,0,0,0,42.85,1.064516129032258,0.029944304292832236,2
67.0,0,1.0,1,1,0,0,2,36.09,37.06,1,1,1,1,0.0,0.014925373134328358,0.973826227738802,2
66.0,1,24.0,0,1,1,2,1,75.89,1824.69,0,1,1,1,151.78,0.36363636363636365,0.04159062635296955,2
43.65553060078607,1,14.0,0,0,1,0,2,69.59,845.44,0,0,0,0,0.0,0.3206924714310519,0.08231216881150644,1
39.0,0,8.0,1,0,1,0,0,117.41,946.14,0,0,0,0,0.0,0.20512820512820512,0.12409368592385904,2
43.65553060078607,0,48.0,1,0,1,0,2,75.31,3631.14,1,0,0,0,0.0,1.0995170449064637,0.020740043071872747,2
67.0,0,50.0,1,1,0,0,3,95.73,4782.69,1,1,1,1,0.0,0.746268656716418,0.02001593245642097,2
29.0,1,47.0,1,0,1,0,0,101.73,4772.41,1,0,1,0,0.0,1.6206896551724137,0.02131627416755895,2
36.0,1,1.0,0,1,0,0,1,118.69,129.01,0,1,1,0,0.0,0.027777777777777776,0.9200062010696846,1
56.0,0,57.0,1,1,1,2,0,92.86,5287.25,1,0,0,0,185.72,1.0178571428571428,0.017563005343042223,3
43.65553060078607,1,61.0,0,1,0,0,0,24.95,1528.61,0,1,0,1,0.0,1.3973029112352977,0.016322018042535375,1
45.0,0,57.0,1,1,0,0,0,103.5,5902.93,0,1,1,1,0.0,1.2666666666666666,0.017533665484767733,2
45.0,1,16.0,0,1,1,1,0,82.73,1330.47,0,0,0,1,82.73,0.35555555555555557,0.06218103377002112,2
36.0,1,57.0,1,0,1,0,0,83.81,4781.04,1,1,0,1,0.0,1.5833333333333333,0.017529658819001724,2
47.0,1,35.0,1,0,0,0,2,44.11,1537.25,0,1,0,0,0.0,0.7446808510638298,0.028694096601073346,1
44.0,1,11.0,0,1,0,1,2,56.06,625.05,1,0,0,1,56.06,0.25,0.08968882489400849,1
34.0,1,15.0,1,1,1,2,0,84.51,1273.15,1,0,0,1,169.02,0.4411764705882353,0.06637866708557515,3
65.0,1,31.0,1,1,1,1,3,55.68,1727.14,1,0,0,0,55.68,0.47692307692307695,0.032238266729969774,3
18.0,0,30.0,1,1,0,1,2,69.59,3426.93,1,0,0,0,69.59,1.6666666666666667,0.020306805216330652,2
19.0,1,3.0,1,1,1,0,3,34.61,104.21,0,1,1,1,0.0,0.15789473684210525,0.3321178389789848,3
64.0,0,60.0,1,1,0,0,0,88.46,5330.14,1,1,0,0,0.0,0.9375,0.016596186966946456,2
19.0,1,65.0,1,1,0,0,0,44.43,2879.65,0,1,0,1,0.0,3.4210526315789473,0.015428958380358723,2
34.0,1,58.0,1,1,0,1,2,119.36,6927.22,0,1,0,1,119.36,1.7058823529411764,0.017230577345601843,2
21.0,0,71.0,1,1,1,0,3,44.31,3140.77,0,0,0,1,0.0,3.380952380952381,0.014108005361742504,3
31.0,1,2.0,1,0,0,0,2,31.41,64.92,1,1,0,1,0.0,0.06451612903225806,0.4838262476894639,1
50.0,1,55.0,0,0,1,2,2,28.85,1588.92,1,1,0,1,57.7,1.1,0.01815698713591622,1
49.0,1,45.0,1,1,0,0,0,72.04,3232.92,1,1,0,1,0.0,0.9183673469387755,0.022283260952946565,2
42.0,1,51.0,1,1,0,0,3,48.92,2498.3,1,0,0,0,0.0,1.2142857142857142,0.01958131529440019,2
20.0,0,49.0,1,0,0,0,2,76.97,3772.33,1,0,0,1,0.0,2.45,0.020403835295427494,1
27.0,0,56.0,0,1,1,1,3,81.8,4589.96,0,0,0,0,81.8,2.074074074074074,0.01782150606976967,2
19.0,1,12.0,0,1,0,1,2,50.1,615.49,1,0,0,1,50.1,0.631578947368421,0.08139856049651498,1
34.0,0,9.0,1,1,1,0,3,28.86,263.22,0,1,1,0,0.0,0.2647058823529412,0.10964212445862775,3
43.0,1,15.0,0,0,1,2,1,80.17,1215.32,0,1,1,0,160.34,0.3488372093023256,0.06596616528980022,1
33.0,0,42.0,1,0,1,1,1,62.83,2631.05,1,1,0,1,62.83,1.2727272727272727,0.023880199920183955,2
46.0,1,56.0,1,0,0,2,2,46.88,2632.25,1,1,0,1,93.76,1.2173913043478262,0.017809858486086048,1
25.0,0,54.0,1,1,1,0,2,28.03,1515.19,1,1,0,1,0.0,2.16,0.018499330117015027,3
28.0,0,29.0,1,1,0,0,3,34.3,990.78,0,0,0,1,0.0,1.0357142857142858,0.03461918892185954,2
21.0,1,39.0,1,1,1,0,2,52.18,2033.05,0,0,1,1,0.0,1.8571428571428572,0.025665871473893903,3
47.0,0,58.0,1,0,1,0,3,56.86,3290.41,1,1,1,0,0.0,1.2340425531914894,0.017280521272425017,2
69.0,0,18.0,1,1,0,0,3,25.9,4517.4,0,1,0,0,0.0,0.2608695652173913,0.005733386461238766,2
54.0,1,31.0,1,1,1,1,2,104.28,3236.29,0,0,0,1,104.28,0.5740740740740741,0.032222081457471366,3
45.0,0,2.0,0,0,1,0,2,111.14,224.16,0,1,0,0,0.0,0.044444444444444446,0.49580656673804424,1
68.0,1,55.0,1,1,1,0,0,52.29,2897.27,0,1,0,1,0.0,0.8088235294117647,0.018048024519634002,3
43.65553060078607,1,47.0,1,0,0,1,2,28.37,1347.4,1,1,0,0,28.37,1.0766104398042458,0.021055365889861954,1
60.0,0,3.0,0,1,1,1,1,114.93,342.41,0,0,0,1,114.93,0.05,0.3356502438597004,2
64.0,1,23.0,1,1,1,1,0,33.61,771.85,0,0,0,0,33.61,0.359375,0.043544730193690484,3
55.0,0,12.0,0,1,1,0,2,42.06,496.36,1,0,0,1,0.0,0.21818181818181817,0.0847368845193005,2
63.0,1,4.0,0,1,1,0,3,81.6,321.48,1,0,0,1,0.0,0.06349206349206349,0.253826054497947,2
63.0,0,15.0,1,1,0,1,0,30.96,456.93,1,1,1,0,30.96,0.23809523809523808,0.0677565491431948,2
34.0,1,65.0,1,0,1,0,2,37.35,2424.2,0,1,1,1,0.0,1.911764705882353,0.01540714462503094,2
53.0,0,4.0,1,1,0,0,0,89.56,358.76,0,0,0,1,0.0,0.07547169811320754,0.24963764076262684,2
49.0,1,32.0,0,1,1,0,3,72.79,2322.63,0,0,0,0,0.0,0.6530612244897959,0.031339472925089235,2
41.0,1,21.0,1,1,1,0,2,63.11,1321.66,1,1,1,1,0.0,0.5121951219512195,0.047750556118820266,3
43.65553060078607,1,61.0,1,1,1,2,3,53.64,3259.7,0,0,0,1,107.28,1.3973029112352977,0.01645550204006504,3
67.0,0,49.0,1,1,1,1,1,52.56,2579.96,1,0,0,1,52.56,0.7313432835820896,0.020372408874556196,3
19.0,0,65.0,0,1,1,0,3,113.47,7361.17,0,0,0,1,0.0,3.4210526315789473,0.015414669135477104,2
41.0,1,28.0,1,1,1,0,2,75.47,2104.09,0,1,1,0,0.0,0.6829268292682927,0.03586823757538888,3
25.0,1,60.0,1,1,1,1,2,97.62,5836.85,1,0,0,1,97.62,2.4,0.01672477449309131,3
32.0,0,27.0,1,1,0,0,2,49.3,1340.57,1,1,0,1,0.0,0.84375,0.03677540150831363,2
61.0,1,40.0,1,1,1,2,1,114.67,4585.55,0,0,0,0,229.34,0.6557377049180327,0.02500681488589155,3
50.0,0,43.0,1,1,0,0,0,103.48,4444.33,1,1,0,0,0.0,0.86,0.023283599552688484,2
69.0,0,71.0,1,1,1,0,2,75.94,5382.39,0,1,0,0,0.0,1.0289855072463767,0.014108973894496682,3
25.0,0,28.0,1,1,1,0,2,44.9,1248.42,1,0,1,0,0.0,1.12,0.035965460341872126,3
22.0,1,54.0,1,1,1,0,2,113.85,6144.25,1,1,0,0,0.0,2.4545454545454546,0.01852951946942263,3
39.0,0,18.0,1,0,0,1,2,110.34,1960.19,1,1,0,1,110.34,0.46153846153846156,0.056290461638922755,1
28.0,0,29.0,1,0,1,1,2,83.04,2431.92,0,0,0,0,83.04,1.0357142857142858,0.03414586006118622,2
43.65553060078607,0,42.0,1,1,0,0,3,106.54,4478.96,1,1,1,0,0.0,0.9620774142931557,0.023786771929197852,2
34.0,1,10.0,0,0,0,2,1,54.9,540.07,1,1,0,1,109.8,0.29411764705882354,0.10165348936249004,0
61.0,1,32.0,1,0,1,1,1,70.84,2265.91,0,1,0,1,70.84,0.5245901639344263,0.03126337762753155,2
37.0,0,61.0,1,1,1,1,2,48.5,2948.16,0,1,1,0,48.5,1.6486486486486487,0.016450938890697927,3
50.0,0,4.0,1,1,1,2,2,103.62,410.0,0,0,0,0,207.24,0.08,0.2527317073170732,3
43.65553060078607,1,33.0,1,1,1,0,3,75.57,2476.09,0,1,0,0,0.0,0.7559179683731938,0.030519892249473966,3
43.65553060078607,1,10.0,1,1,1,0,2,51.31,519.52,1,0,1,0,0.0,0.22906605102217995,0.09876424391746227,3
48.0,1,63.0,1,0,1,0,2,66.42,4194.09,1,1,1,0,0.0,1.3125,0.015836570030686038,2
40.0,1,50.0,1,0,1,0,2,33.19,1653.42,0,1,1,1,0.0,1.25,0.020073544531939855,2
69.0,0,23.0,1,0,1,2,3,62.88,1465.58,0,0,0,0,125.76,0.3333333333333333,0.042904515618389996,2
42.0,0,57.0,1,0,1,2,3,100.2,5713.3,1,0,0,0,200.4,1.3571428571428572,0.017538025309365865,2
26.0,1,2.0,1,1,0,2,0,28.3,67.09,1,0,1,0,56.6,0.07692307692307693,0.4218214338947682,2
34.0,0,3.0,0,1,0,2,2,48.08,156.44,0,1,1,1,96.16,0.08823529411764706,0.3073382766555868,1
20.0,1,63.0,1,0,0,0,2,100.41,6314.27,0,1,0,0,0.0,3.15,0.015902075774396722,1
31.0,0,37.0,0,1,0,0,2,75.53,2805.72,1,1,0,1,0.0,1.1935483870967742,0.02692000627289965,1
65.0,1,26.0,1,1,1,2,0,34.37,896.04,0,0,0,1,68.74,0.4,0.03835766260434802,3
23.0,1,20.0,0,0,1,2,3,119.85,2384.87,0,1,0,0,239.7,0.8695652173913043,0.050254311555766144,1
35.0,1,53.0,0,1,1,0,2,67.74,3596.6,0,1,0,1,0.0,1.5142857142857142,0.018834454762831562,2
58.0,1,24.0,1,1,0,0,1,62.16,1488.18,1,1,0,0,0.0,0.41379310344827586,0.04176914082973834,2
19.0,0,37.0,1,1,1,0,1,111.43,4126.26,1,0,0,0,0.0,1.9473684210526316,0.02700508450752013,3
60.0,0,70.0,1,1,0,0,0,53.14,3712.13,1,0,0,1,0.0,1.1666666666666667,0.014315231417003176,2
18.0,1,53.0,1,1,0,2,3,23.86,1271.76,0,1,0,0,47.72,2.9444444444444446,0.018761401522299805,2
62.0,0,30.0,0,0,1,1,2,75.94,2279.48,1,1,0,0,75.94,0.4838709677419355,0.033314615614087426,1
41.0,0,42.0,1,1,0,0,0,119.64,5021.56,1,1,0,1,0.0,1.024390243902439,0.0238252654553565,2
44.0,0,33.0,1,1,1,1,2,105.32,3464.36,1,1,0,1,105.32,0.75,0.030400997586855865,3
33.0,1,2.0,1,1,1,0,2,24.52,45.02,0,0,1,0,0.0,0.06060606060606061,0.5446468236339405,3
28.0,1,31.0,1,1,0,0,2,69.32,2138.13,1,1,1,0,0.0,1.1071428571428572,0.032420853736676435,2
28.0,1,50.0,1,1,0,0,1,111.26,2132.26,1,1,0,1,0.0,1.7857142857142858,0.05217937774943018,2
40.0,1,48.0,1,0,1,0,2,98.85,4736.69,0,1,0,0,0.0,1.2,0.020869003460222222,2
32.0,0,43.0,0,0,0,2,2,45.84,1985.28,1,1,0,1,91.68,1.34375,0.023089941972920698,0
44.0,1,70.0,1,1,0,2,1,94.76,6639.12,0,1,0,0,189.52,1.5909090909090908,0.014272975936569909,2
41.0,1,26.0,1,1,1,0,1,23.99,623.01,1,1,0,1,0.0,0.6341463414634146,0.03850660503041684,3
39.0,1,10.0,0,1,0,1,0,60.97,609.91,1,0,1,0,60.97,0.2564102564102564,0.09996556869046253,1
68.0,0,46.0,0,1,1,1,0,62.0,2849.98,0,1,0,1,62.0,0.6764705882352942,0.02175453862834125,2
57.0,1,14.0,0,1,0,0,0,110.95,1553.63,0,0,0,1,0.0,0.24561403508771928,0.0714133995867742,1
54.0,1,5.0,0,0,1,0,2,43.61,227.45,0,0,0,0,0.0,0.09259259259259259,0.19173444713123763,1
44.0,1,53.0,1,1,0,2,2,67.62,3582.21,0,1,0,0,135.24,1.2045454545454546,0.01887661527381142,2
66.0,0,29.0,0,1,1,0,0,65.87,1886.57,0,0,0,0,0.0,0.4393939393939394,0.03491521650402583,2
20.0,0,24.0,1,1,0,1,0,77.99,1867.41,0,1,1,1,77.99,1.2,0.041763726230447516,2
59.0,1,69.0,0,1,0,0,1,106.63,7350.36,0,1,1,0,0.0,1.1694915254237288,0.014506772457403446,1
57.0,0,18.0,0,1,1,2,3,87.37,1578.88,1,0,0,0,174.74,0.3157894736842105,0.055336694365626264,2
32.0,1,9.0,1,0,1,0,1,49.24,439.91,0,1,1,0,0.0,0.28125,0.11193198608806347,2
45.0,1,59.0,0,1,1,2,0,114.76,6783.28,0,1,1,1,229.52,1.3111111111111111,0.0169180691346959,2
18.0,0,27.0,1,0,1,1,3,69.59,2092.77,1,1,1,0,69.59,1.5,0.03325257911762879,2
37.0,1,25.0,0,1,1,0,1,81.29,2034.36,0,1,0,1,0.0,0.6756756756756757,0.039958512750938875,2
47.0,1,2.0,1,1,1,0,3,36.76,858.4000000000001,0,1,1,0,0.0,0.0425531914893617,0.04282385834109971,3
43.65553060078607,1,22.0,1,1,0,1,2,102.82,2262.98,1,1,1,0,102.82,0.5039453122487959,0.045435664477812436,2
24.0,1,58.0,0,0,1,0,1,108.53,6294.01,0,1,1,0,0.0,2.4166666666666665,0.017243379022276736,1
40.0,1,56.0,1,1,1,0,2,115.47,6440.28,0,0,1,0,0.0,1.4,0.01792934468687697,3
63.0,0,19.0,1,0,0,1,1,25.89,502.81,1,1,1,0,25.89,0.30158730158730157,0.05149062270042362,1
53.0,0,63.0,1,1,0,2,2,53.1,3353.32,0,1,0,0,106.2,1.1886792452830188,0.01583505302207961,2
58.0,1,44.0,1,1,1,0,3,60.82,2671.94,0,1,0,0,0.0,0.7586206896551724,0.02276248718159839,3
64.0,1,53.0,1,1,1,0,0,54.64,2881.12,0,0,1,1,0.0,0.828125,0.018964847003942912,3
54.0,1,54.0,0,1,0,1,2,35.18,1916.49,0,0,0,1,35.18,1.0,0.01835647459678892,1
38.0,0,7.0,0,1,1,0,3,44.27,312.44,1,0,1,1,0.0,0.18421052631578946,0.14169120471130459,2
23.0,0,27.0,1,1,1,0,3,109.43,2957.56,1,1,0,0,0.0,1.173913043478261,0.037000094672635556,3
50.0,1,49.0,0,0,1,1,0,100.43,4920.1,0,0,0,0,100.43,0.98,0.020412186744171865,1
56.0,1,20.0,1,0,0,2,3,64.99,1295.03,1,0,1,0,129.98,0.35714285714285715,0.050184165617784916,1
28.0,0,29.0,1,1,1,1,2,47.64,1378.71,0,0,1,1,47.64,1.0357142857142858,0.03455403964575581,3
69.0,0,7.0,0,1,1,0,2,113.07,772.23,0,1,0,1,0.0,0.10144927536231885,0.14642010799891222,2
31.0,1,32.0,1,1,1,1,3,111.88,3572.67,1,1,1,0,111.88,1.032258064516129,0.03131551472708086,3
38.0,0,2.0,0,0,0,2,2,24.98,63.06,0,1,0,1,49.96,0.05263157894736842,0.39613066920393275,0
36.0,0,27.0,1,1,0,0,0,87.17,2339.26,0,1,0,1,0.0,0.75,0.03726392106905602,2
55.0,1,71.0,1,1,0,0,0,29.19,2072.33,0,0,1,0,0.0,1.290909090909091,0.014085594475783298,2
39.0,0,17.0,0,0,1,0,3,76.31,1292.98,0,1,0,1,0.0,0.4358974358974359,0.059018700985320735,1
21.0,1,50.0,1,1,1,2,2,87.72,4388.48,0,1,0,1,175.44,2.380952380952381,0.019988697681201692,3
28.0,0,28.0,1,1,0,2,1,119.13,3338.13,0,0,1,0,238.26,1.0,0.03568764547815693,2
31.0,1,27.0,1,1,1,0,2,59.33,1613.22,0,1,1,0,0.0,0.8709677419354839,0.03677737692317229,3
19.0,1,17.0,0,1,1,1,0,28.59,513.35,0,1,0,0,28.59,0.8947368421052632,0.05569299698061751,2
21.0,1,48.0,1,1,1,2,3,65.32,3134.4,0,1,1,0,130.64,2.2857142857142856,0.020839714139867276,3
49.0,0,32.0,1,0,1,2,2,76.14,2434.93,0,0,1,0,152.28,0.6530612244897959,0.03126989276899131,2
63.0,0,12.0,1,1,1,0,1,71.95,853.0,0,0,1,0,0.0,0.19047619047619047,0.0843493552168816,3
36.0,1,11.0,0,0,1,0,2,61.99,684.27,1,0,1,0,0.0,0.3055555555555556,0.09059289461762171,1
60.0,0,36.0,1,1,1,2,3,27.85,1010.53,1,1,0,0,55.7,0.6,0.02755979535491277,3
58.0,0,39.0,1,1,0,0,2,29.28,1142.77,1,0,0,0,0.0,0.6724137931034483,0.02562195367396764,2
34.0,1,51.0,0,0,1,0,2,78.5,3985.67,0,0,1,0,0.0,1.5,0.01969555934134035,1
25.0,1,37.0,1,1,0,0,3,99.19,3682.04,1,1,0,0,0.0,1.48,0.026938870843336845,2
69.0,0,25.0,1,0,1,0,2,49.43,1253.39,0,1,1,1,0.0,0.36231884057971014,0.03943704672927022,2
28.0,0,65.0,1,1,0,0,3,81.22,5290.44,1,0,0,0,0.0,2.3214285714285716,0.015352220231209503,2
66.0,1,50.0,1,0,0,0,2,111.06,5560.25,1,0,1,0,0.0,0.7575757575757576,0.019973922035879683,1
63.0,1,70.0,1,1,1,1,0,23.39,1641.3,0,1,1,1,23.39,1.1111111111111112,0.014250898677877294,3
51.0,1,1.0,1,0,0,1,2,23.81,13.19,1,1,0,1,23.81,0.0196078431372549,1.8051554207733131,1
